2026-04-05 21:52:52,583 | INFO | GET genres | status=200 | page=1 | ordering=None | stores=None
2026-04-05 21:52:53,311 | INFO | GET platforms | status=200 | page=1 | ordering=None | stores=None
2026-04-05 21:52:54,216 | INFO | GET platforms | status=200 | page=2 | ordering=None | stores=None
2026-04-05 21:52:55,277 | INFO | GET developers | status=200 | page=1 | ordering=None | stores=None
2026-04-05 21:52:56,794 | INFO | GET developers | status=200 | page=2 | ordering=None | stores=None
2026-04-05 21:52:58,128 | INFO | GET developers | status=200 | page=3 | ordering=None | stores=None
2026-04-05 21:52:59,861 | INFO | GET publishers | status=200 | page=1 | ordering=None | stores=None
2026-04-05 21:53:00,392 | INFO | GET publishers | status=200 | page=2 | ordering=None | stores=None
2026-04-05 21:53:01,822 | INFO | GET publishers | status=200 | page=3 | ordering=None | stores=None
2026-04-05 21:53:02,264 | INFO | GET stores | status=200 | page=1 | ordering=None | stores=None
2026-04-05 21:53:03,830 | INFO | GET games | status=200 | page=1 | ordering=released | stores=None
2026-04-05 21:53:05,602 | INFO | GET games | status=200 | page=2 | ordering=released | stores=None
2026-04-05 21:53:07,226 | INFO | GET games | status=200 | page=3 | ordering=released | stores=None
2026-04-05 21:53:08,362 | INFO | GET games | status=200 | page=4 | ordering=released | stores=None
2026-04-05 21:53:09,087 | INFO | GET games | status=200 | page=1 | ordering=-added | stores=1
2026-04-05 21:53:09,827 | INFO | GET games/1015346 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,835 | INFO | GET games/1015876 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,840 | INFO | GET games/1004511 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,840 | INFO | GET games/1015735 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,872 | INFO | GET games/139102 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,894 | INFO | GET games/787599 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,909 | INFO | GET games/961202 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:09,915 | INFO | GET games/994601 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,104 | INFO | GET games/1003659 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,617 | INFO | GET games/1010947 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,617 | INFO | GET games/1015907 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,655 | INFO | GET games/1015975 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,661 | INFO | GET games/1016024 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,700 | INFO | GET games/1015905 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,707 | INFO | GET games/1015906 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,727 | INFO | GET games/1015978 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,790 | INFO | GET games/1016124 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,956 | INFO | GET games/1015775 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:10,994 | INFO | GET games/1016076 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,027 | INFO | GET games/1016657 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,034 | INFO | GET games/1016279 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,038 | INFO | GET games/1015390 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,047 | INFO | GET games/1016373 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,105 | INFO | GET games/1015846 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,218 | INFO | GET games/1016342 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,359 | INFO | GET games/1016375 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:11,410 | INFO | GET games/1016439 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:12,238 | INFO | GET games | status=200 | page=2 | ordering=-added | stores=1
2026-04-05 21:53:13,900 | INFO | GET games | status=200 | page=3 | ordering=-added | stores=1
2026-04-05 21:53:15,028 | INFO | GET games | status=200 | page=4 | ordering=-added | stores=1
2026-04-05 21:53:15,893 | INFO | GET games | status=200 | page=5 | ordering=-added | stores=1
2026-04-05 21:53:17,648 | INFO | GET games | status=200 | page=1 | ordering=-rating | stores=1
2026-04-05 21:53:18,910 | INFO | GET games | status=200 | page=2 | ordering=-rating | stores=1
2026-04-05 21:53:19,829 | INFO | GET games | status=200 | page=3 | ordering=-rating | stores=1
2026-04-05 21:53:20,756 | INFO | GET games | status=200 | page=4 | ordering=-rating | stores=1
2026-04-05 21:53:21,583 | INFO | GET games | status=200 | page=5 | ordering=-rating | stores=1
2026-04-05 21:53:22,250 | INFO | GET games | status=200 | page=1 | ordering=-metacritic | stores=1
2026-04-05 21:53:24,451 | INFO | GET games | status=200 | page=2 | ordering=-metacritic | stores=1
2026-04-05 21:53:32,233 | INFO | GET games | status=200 | page=3 | ordering=-metacritic | stores=1
2026-04-05 21:53:33,182 | INFO | GET games | status=200 | page=4 | ordering=-metacritic | stores=1
2026-04-05 21:53:36,337 | INFO | GET games | status=200 | page=5 | ordering=-metacritic | stores=1
2026-04-05 21:53:37,547 | INFO | GET games | status=200 | page=1 | ordering=-added | stores=1
2026-04-05 21:53:40,331 | INFO | GET games/292844 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,334 | INFO | GET games/891532 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,339 | INFO | GET games/994603 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,340 | INFO | GET games/983210 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,340 | INFO | GET games/303576 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,340 | INFO | GET games/980502 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,341 | INFO | GET games/420000 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,343 | INFO | GET games/891238 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,929 | INFO | GET games/471025 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:40,999 | INFO | GET games/392384 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,028 | INFO | GET games/981791 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,043 | INFO | GET games/337273 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,063 | INFO | GET games/801122 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,071 | INFO | GET games/618709 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,081 | INFO | GET games/983381 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,152 | INFO | GET games/987515 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,222 | INFO | GET games/617120 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,384 | INFO | GET games/1001843 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,402 | INFO | GET games/868087 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,417 | INFO | GET games/52106 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,417 | INFO | GET games/704787 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,441 | INFO | GET games/554786 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,501 | INFO | GET games/973391 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,509 | INFO | GET games/616671 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:41,719 | INFO | GET games/962986 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,200 | INFO | GET games/51168 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,233 | INFO | GET games/782261 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,234 | INFO | GET games/965464 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,234 | INFO | GET games/1001007 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,314 | INFO | GET games/301619 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:43,547 | INFO | GET games/10392 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:44,096 | INFO | GET games/990567 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:44,106 | INFO | GET games/1007483 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:44,456 | INFO | GET games/987516 | status=200 | page=None | ordering=None | stores=None
2026-04-05 21:53:44,464 | INFO | GET games/973380 | status=200 | page=None | ordering=None | stores=None
